Country,City,Total,Museum,Change from 2022,Cahnge from 2019
Australia,Sydney,859386,Museum of Contemporary Art Australia,27%,-15%
Australia,Melbourne,732114,The Ian Potter Centre: NGV Australia †,121%,22%
Australia,Melbourne,1800124,NGV International †,14%,-26%
Australia,Sydney,1945810,Art Gallery of New South Wales,90%,51%
Austria,Vienna,1339660,Upper Belvedere †,52%,6%
Austria,Vienna,1688509,Kunsthistorisches Museum,25%,-8%
Austria,Vienna,943974,Albertina,27%,-6%
Brazil,Belo Horizonte,1474825,Centro Cultural Banco do Brasil,No data,-3%
Brazil,Rio de Janeiro,1323034,Centro Cultural Banco do Brasil,-3%,-49%
Canada,Toronto,1091120,Royal Ontario Museum,37%,-17%
Canada,Toronto,846835,Art Gallery of Ontario,63%,-8%
France,Paris,1410000,Musée du Quai Branly,40%,27%
France,Paris,2621696,Centre Pompidou,-13%,-20%
France,Paris,8860000,Musée du Louvre,15%,-8%
France,Paris,3871498,Musée d'Orsay,18%,6%
France,Paris,1239539,Musée de l'Orangerie,22%,20%
France,Paris,927023,Musée d'Art Moderne de Paris,No data,220%
France,Giverny,750000,Fondation Monet,16%,No data
France,Marseille,1300000,mucem,4%,8%
France,Paris,1550000,Fondation Louis Vuitton,11%,46%
France,Paris,1187678,Petit Palais,9%,25%
Germany,Berlin,1700000,Humboldt Forum,13%,Opened 2021
Greece,Athens,1904456,Acropolis Museum,31%,8%
Hong Kong,Hong Kong,2797616,M+,38%,Opened 2021
Hong Kong,Hong Kong,724011,Hong Kong Heritage Museum,No data,No data
Hong Kong,Hong Kong,1257411,Hong Kong Museum of Art,183%,No data
Hong Kong,Hong Kong,1260000,Hong Kong Palace Museum,81%,Opened 2022
Hungary,Budapest,821491,Museum of Fine Arts,10%,62%
Ireland,Dublin,1017636,National Gallery of Ireland,29%,34%
Israel,Tel Aviv,906350,Tel Aviv Museum of Art,-15%,-31%
Italy,Florence,883568,Palazzo Pitti,36%,14%
Italy,Florence,2717857,Galleria degli Uffizi,22%,15%
Italy,Turin,1061157,Museo Egizio,18%,24%
Italy,Venice,1301619,Palazzo Ducale,16%,No data
Italy,Milan,896681,Palazzo Reale,No data,19%
Italy,Florence,2013974,Galleria dell'Accademia,41%,18%
